"[1, np.float64(7.734975655835793)]"
"[2, np.float64(7.73496508259037)]"
"[3, np.float64(7.73495450946943)]"
"[4, np.float64(7.734943936472969)]"
"[5, np.float64(7.734933363600987)]"
"[6, np.float64(7.734922790853482)]"
"[7, np.float64(7.734912218230452)]"
"[8, np.float64(7.734901645731897)]"
"[9, np.float64(7.734891073357814)]"
"[10, np.float64(7.734880501108202)]"
"[11, np.float64(7.734869928983059)]"
"[12, np.float64(7.734862847479354)]"
"[13, np.float64(7.734859152101151)]"
"[14, np.float64(7.734857961752214)]"
"[15, np.float64(7.7348583702682046)]"
"[16, np.float64(7.734858778797644)]"
"[17, np.float64(7.73485918734053)]"
"[18, np.float64(7.734858752328009)]"
"[19, np.float64(7.734859100530123)]"
"[20, np.float64(7.7348594487461755)]"
"[21, np.float64(7.734859796976169)]"
"[22, np.float64(7.734860145220099)]"
"[23, np.float64(7.734860493477969)]"
"[24, np.float64(7.734860841749776)]"
"[25, np.float64(7.734861190035519)]"
"[26, np.float64(7.734861538335201)]"
"[27, np.float64(7.734861062083468)]"
"[28, np.float64(7.734861409640914)]"
"[29, np.float64(7.734861757212225)]"
"[30, np.float64(7.734862104797404)]"
"[31, np.float64(7.73486245239645)]"
"[32, np.float64(7.734861976222465)]"
"[33, np.float64(7.734862323857508)]"
"[34, np.float64(7.7348626715064155)]"
"[35, np.float64(7.734863019169184)]"
"[36, np.float64(7.7348633668458175)]"
"[37, np.float64(7.734863714536314)]"
"[38, np.float64(7.734864062240672)]"
"[39, np.float64(7.734864409958892)]"
"[40, np.float64(7.734864757690972)]"
"[41, np.float64(7.734865105436914)]"
"[42, np.float64(7.734865453196716)]"
"[43, np.float64(7.734865800970377)]"
"[44, np.float64(7.734866148757898)]"
"[45, np.float64(7.734865672772777)]"
"[46, np.float64(7.734866036884042)]"
"[47, np.float64(7.734866401008976)]"
"[48, np.float64(7.734866941080824)]"
"[49, np.float64(7.734866829044233)]"
"[50, np.float64(7.73486671702425)]"
"[51, np.float64(7.734865300781794)]"
"[52, np.float64(7.7348641438872665)]"
"[53, np.float64(7.734863754825992)]"
"[54, np.float64(7.7348627380967185)]"
"[55, np.float64(7.7348622647189025)]"
"[56, np.float64(7.73486179135682)]"
"[57, np.float64(7.734861498206962)]"
"[58, np.float64(7.7348606230217865)]"
"[59, np.float64(7.734860490453082)]"
"[60, np.float64(7.734859793688147)]"
"[61, np.float64(7.734858682941374)]"
"[62, np.float64(7.734857572213846)]"
"[63, np.float64(7.734857607312338)]"
"[64, np.float64(7.734857992473894)]"
"[65, np.float64(7.734856746146958)]"
"[66, np.float64(0.0007319003392001026)]"
"[67, np.float64(0.0007379364339166618)]"
