"[1, array([[0.92419819]])]"
"[2, array([[0.84241446]])]"
"[3, array([[0.7606318]])]"
"[4, array([[0.67885022]])]"
"[5, array([[0.59706971]])]"
"[6, array([[0.51529028]])]"
"[7, array([[0.43351192]])]"
"[8, array([[0.35173464]])]"
"[9, array([[0.26995843]])]"
"[10, array([[0.18818329]])]"
"[11, array([[0.10640923]])]"
"[12, array([[0.05163475]])]"
"[13, array([[0.02305152]])]"
"[14, array([[0.01384434]])]"
"[15, array([[0.01700415]])]"
"[16, array([[0.02016407]])]"
"[17, array([[0.02332409]])]"
"[18, array([[0.01995933]])]"
"[19, array([[0.02265262]])]"
"[20, array([[0.02534603]])]"
"[21, array([[0.02803954]])]"
"[22, array([[0.03073315]])]"
"[23, array([[0.03342688]])]"
"[24, array([[0.03612071]])]"
"[25, array([[0.03881466]])]"
"[26, array([[0.0415087]])]"
"[27, array([[0.03782496]])]"
"[28, array([[0.04051327]])]"
"[29, array([[0.04320169]])]"
"[30, array([[0.04589021]])]"
"[31, array([[0.04857884]])]"
"[32, array([[0.0448957]])]"
"[33, array([[0.04758461]])]"
"[34, array([[0.05027363]])]"
"[35, array([[0.05296275]])]"
"[36, array([[0.05565198]])]"
"[37, array([[0.05834132]])]"
"[38, array([[0.06103077]])]"
"[39, array([[0.06372032]])]"
"[40, array([[0.06640998]])]"
"[41, array([[0.06909975]])]"
"[42, array([[0.07178962]])]"
"[43, array([[0.0744796]])]"
"[44, array([[0.07716969]])]"
"[45, array([[0.07348801]])]"
"[46, array([[0.07630436]])]"
"[47, array([[0.07912082]])]"
"[48, array([[0.0832982]])]"
"[49, array([[0.08243162]])]"
"[50, array([[0.08156516]])]"
"[51, array([[0.07061071]])]"
"[52, array([[0.06166229]])]"
"[53, array([[0.05865295]])]"
"[54, array([[0.05078869]])]"
"[55, array([[0.04712718]])]"
"[56, array([[0.04346579]])]"
"[57, array([[0.04119832]])]"
"[58, array([[0.03442888]])]"
"[59, array([[0.03340348]])]"
"[60, array([[0.0280141]])]"
"[61, array([[0.01942264]])]"
"[62, array([[0.01083132]])]"
"[63, array([[0.0111028]])]"
"[64, array([[0.01408197]])]"
"[65, array([[0.00444181]])]"
"[66, array([[0.00026784]])]"
"[67, array([[0.00027228]])]"
